rank,university,P,P_top1,PP_top1
1,MIT,9905,339,3.4%
2,Princeton Univ,5466,168,3.1%
3,Caltech,5012,149,3.0%
4,Stanford Univ,17975,532,3.0%
5,Harvard Univ,36163,1003,2.8%
6,Northeast Electric Power Univ,1372,35,2.6%
7,King Abdullah Univ Sci & Technol,3768,95,2.5%
8,Weizmann Inst Sci,2422,60,2.5%
9,Univ Oxford,16697,412,2.5%
10,Swinburne Univ Technol,2513,61,2.4%
11,Univ Cambridge,13895,336,2.4%
12,Ecole Polytech Féd Lausanne,5430,129,2.4%
13,Imperial Coll London,13088,311,2.4%
14,Chengdu Univ Tradit Chin Med,2770,66,2.4%
15,Nanyang Technol Univ,9694,226,2.3%
16,Hunan Univ Technol,934,22,2.3%
17,Duy Tan Univ,1196,28,2.3%
18,Bohai Univ,1025,24,2.3%
19,London Sch Hyg & Trop Med,2647,61,2.3%
20,Univ California - Berkeley,9143,210,2.3%
21,Qingdao Univ Technol,2013,46,2.3%
22,ETH Zürich,9892,224,2.3%
23,Univ South Queensland,1175,26,2.2%
24,Univ W England - Bristol,933,21,2.2%
25,Univ California - San Francisco,10631,234,2.2%
26,Icahn Sch Med - Mt Sinai,6368,139,2.2%
27,Univ Exeter,4354,94,2.2%
28,Cornell Univ,13916,301,2.2%
29,Univ California - Santa Barbara,4029,86,2.1%
30,Univ Coll London,16585,356,2.1%
31,Tsinghua Univ,25595,548,2.1%
32,Yale Univ,12686,271,2.1%
33,Univ California - San Diego,13139,281,2.1%
34,Univ Technol - Sydney,5114,109,2.1%
35,Columbia Univ,13268,277,2.1%
36,Hong Kong Polytech Univ,9140,190,2.1%
37,Univ Texas - Southwestern Med Ctr - Dallas,5257,109,2.1%
38,Australian Cath Univ,824,17,2.1%
39,Natl Univ Singapore,14068,289,2.1%
40,Univ Glasgow,6102,125,2.1%
41,Northwestern Univ,11205,228,2.0%
42,Babol Noshirvani Univ Technol,1295,26,2.0%
43,LUT Univ,920,18,2.0%
44,Singapore Univ Technol & Design,1033,21,2.0%
45,Washington Univ St Louis,9307,186,2.0%
46,Hamad Bin Khalifa Univ,1168,23,2.0%
47,Albert Einstein Coll Med,2313,46,2.0%
48,Queen Mary Univ London,4335,86,2.0%
49,Univ E Anglia,2008,39,1.9%
50,Aston Univ,1018,20,1.9%
51,Zhejiang Ocean Univ,1181,23,1.9%
52,City Univ Hong Kong,6713,128,1.9%
53,Univ Maryland - College Park,6707,127,1.9%
54,Univ California - Los Angeles,14305,271,1.9%
55,King's Coll London,9681,183,1.9%
56,Univ Chicago,10252,193,1.9%
57,Univ Sharjah,1856,35,1.9%
58,Hunan Univ,10462,196,1.9%
59,Univ Washington - Seattle,15004,281,1.9%
60,Univ Penn,16997,317,1.9%
61,Qatar Univ,3301,61,1.9%
62,NYU,11564,214,1.9%
63,RMIT Univ,4433,81,1.8%
64,Chin Univ Hong Kong,8690,157,1.8%
65,Univ Edinburgh,8953,162,1.8%
66,London Sch Econ & Polit Sci,2178,39,1.8%
67,Univ Texas - Hlth Sci Ctr - Houston,9431,170,1.8%
68,Carnegie Mellon Univ,3175,57,1.8%
69,Univ Massachusetts Med Sch,1655,29,1.8%
70,Victoria Univ - Melbourne,940,17,1.8%
71,Univ California - Santa Cruz,1999,35,1.7%
72,Vrije Univ Amsterdam,6270,109,1.7%
73,Univ Liverpool,5625,98,1.7%
74,Cranfield Univ,1572,27,1.7%
75,Zhejiang Gongshang Univ,1859,32,1.7%
76,GuangZhou Univ,4551,78,1.7%
77,Rice Univ,2611,45,1.7%
78,Lovely Professional Univ,1273,22,1.7%
79,Northeast Agr Univ,4372,75,1.7%
80,Univ Michigan,19528,332,1.7%
81,Univ Amsterdam,9681,165,1.7%
82,Univ New S Wales,13067,222,1.7%
83,Univ York,3381,57,1.7%
84,Duke Univ,12481,211,1.7%
85,Univ Surrey,2522,42,1.7%
86,Dublin City Univ,1111,19,1.7%
87,Edith Cowan Univ,1480,25,1.7%
88,Univ St Andrews,1952,33,1.7%
89,"Trinity Coll Dublin, Univ Dublin",3946,66,1.7%
90,Vita-Salute San Raffaele Univ,2144,36,1.7%
91,Northeastern Univ - USA,2944,49,1.7%
92,Univ Colorado - Boulder,5902,98,1.7%
93,South Univ Sci & Technol China,6435,106,1.7%
94,Utrecht Univ,10042,165,1.6%
95,Karolinska Inst,8917,146,1.6%
96,Univ Int Business & Econ,908,15,1.6%
97,Inst Chem Technol,1161,19,1.6%
98,Khalifa Univ Sci & Technol,2325,38,1.6%
99,Deakin Univ,5488,90,1.6%
100,King Fahd Univ Petrol & Minerals,3752,61,1.6%
101,Univ Orléans,846,14,1.6%
102,Nankai Univ,9602,156,1.6%
103,Univ Hong Kong,10001,163,1.6%
104,Queen's Univ Belfast,3519,57,1.6%
105,Southwestern Univ Finance & Econ,1670,27,1.6%
106,Univ PSL,4384,71,1.6%
107,Wageningen Univ & Res,5723,93,1.6%
108,Brunel Univ London,1459,24,1.6%
109,Vanderbilt Univ,8610,139,1.6%
110,Hong Kong Baptist Univ,1700,27,1.6%
111,Univ Potsdam,1985,32,1.6%
112,Swansea Univ,2161,35,1.6%
113,Univ Birmingham,7012,113,1.6%
114,McMaster Univ,7391,119,1.6%
115,Univ Leicester,2597,41,1.6%
116,China Univ Geosci,7202,115,1.6%
117,Keele Univ,927,15,1.6%
118,Univ Massachusetts Amherst,3735,60,1.6%
119,Durham Univ,3190,51,1.6%
120,Univ Southampton,5910,94,1.6%
121,Hong Kong Univ Sci & Technol,4513,71,1.6%
122,Leiden Univ,7466,118,1.6%
123,Univ N Carolina - Chapel Hill,10585,166,1.6%
124,Northumbria Univ,1803,28,1.6%
125,Univ Sussex,2192,34,1.6%
126,Univ Queensland,13003,203,1.6%
127,City St Georges - Univ London,1844,29,1.6%
128,Boston Coll,1410,22,1.6%
129,Nanchang Hangkong Univ,1427,22,1.5%
130,Beijing Technol & Business Univ,2546,39,1.5%
131,Univ Texas - Austin,9841,152,1.5%
132,Zhejiang Normal Univ,3099,48,1.5%
133,Johns Hopkins Univ,18570,285,1.5%
134,Univ Manchester,10327,158,1.5%
135,Univ Graz,1473,23,1.5%
136,Univ Warwick,4596,70,1.5%
137,Nottingham Trent Univ,1204,18,1.5%
138,Brown Univ,5755,87,1.5%
139,Johannes Gutenberg Univ Mainz,4214,64,1.5%
140,Univ Huddersfield,976,15,1.5%
141,Univ Sheffield,6108,92,1.5%
142,Katholieke Univ Leuven,11623,175,1.5%
143,Univ Electron Sci & Technol China,13538,203,1.5%
144,Northwestern Polytech Univ,14354,215,1.5%
145,James Cook Univ,2089,31,1.5%
146,Baylor Coll Med,5457,82,1.5%
147,Univ Basel,5179,78,1.5%
148,Monash Univ,13806,206,1.5%
149,Univ Algarve,848,13,1.5%
150,Ctr Queensland Univ,1026,15,1.5%
151,Univ of Dhaka,972,14,1.5%
152,Univ Sydney,14408,214,1.5%
153,Ton Duc Thang Univ,1591,24,1.5%
154,Univ Tek Malaysia,3046,45,1.5%
155,Univ Münster,5210,77,1.5%
156,Univ Bern,6751,100,1.5%
157,Royal Coll Surgeons Ireland,1095,16,1.5%
158,Tech Univ Berlin,3288,48,1.5%
159,Radboud Univ,7136,105,1.5%
160,Bangor Univ,858,13,1.5%
161,Peking Univ,23196,340,1.5%
162,Univ Leeds,6471,95,1.5%
163,Qingdao Univ,9718,142,1.5%
164,Boston Univ,7123,104,1.5%
165,Kermanshah Univ Med Sci,1302,19,1.5%
166,Univ California - Merced,1093,16,1.5%
167,McGill Univ,11467,167,1.5%
168,Georg-August-Univ Göttingen,5063,74,1.5%
169,Univ Melbourne,15085,219,1.5%
170,Cent China Normal Univ,2951,43,1.4%
171,Politec Bari,1091,16,1.4%
172,Nanjing Univ Finance & Econ,961,14,1.4%
173,Colorado Sch Mines,1470,21,1.4%
174,Liverpool John Moores Univ,1337,19,1.4%
175,Univ Bristol,6488,94,1.4%
176,Maastricht Univ,5786,83,1.4%
177,Univ California - Riverside,3540,51,1.4%
178,Nanjing Forestry Univ,6785,97,1.4%
179,Georgia Inst Technol,6532,94,1.4%
180,Univ Paris-Cité (EPE),9936,142,1.4%
181,Univ Toronto,25229,361,1.4%
182,Oregon Hlth & Sci Univ,4076,58,1.4%
183,Curtin Univ,4363,62,1.4%
184,West Sydney Univ,2743,39,1.4%
185,Univ Bath,2926,42,1.4%
186,Southwest Jiaotong Univ,8978,128,1.4%
187,Univ South California,9473,135,1.4%
188,Univ Galway,2421,34,1.4%
189,Univ Groningen,9263,131,1.4%
190,Univ Zurich,9501,134,1.4%
191,Changsha Univ Sci & Technol,2726,38,1.4%
192,Univ Kragujevac,943,13,1.4%
193,Tufts Univ,3569,50,1.4%
194,Luleå Univ Technol,1409,20,1.4%
195,China Agr Univ,10124,142,1.4%
196,Univ Cent Florida,3639,51,1.4%
197,Humanitas Univ,1258,18,1.4%
198,Lancaster Univ,2564,36,1.4%
199,Saveetha Inst Med & Tech Sci,1242,17,1.4%
200,Univ Sci & Technol China,17005,237,1.4%
201,Delft Univ Technol,6905,96,1.4%
202,Univ Adelaide,6068,84,1.4%
203,Aalborg Univ,4376,61,1.4%
204,Univ Lausanne,4750,66,1.4%
205,Xi'an Univ Arch & Technol,4120,57,1.4%
206,Univ Dundee,1452,20,1.4%
207,Shandong Univ Finance & Econ,810,11,1.4%
208,Univ Wuppertal,803,11,1.4%
209,Univ Sains Malaysia,4895,67,1.4%
210,Case West Reserve Univ,10826,149,1.4%
211,Erasmus Univ Rotterdam,7832,108,1.4%
212,Univ California - Davis,10365,143,1.4%
213,Beijing Inst Technol,13465,185,1.4%
214,Univ Macau,3549,49,1.4%
215,Univ Konstanz,1502,21,1.4%
216,Temple Univ,3226,44,1.4%
217,Tech Univ Denmark,5935,81,1.4%
218,Hangzhou Normal Univ,2524,34,1.4%
219,Univ Calgary,8177,111,1.4%
220,Univ Trento,2483,34,1.4%
221,Univ West Australia,6291,85,1.4%
222,Chang'an Univ,5100,69,1.4%
223,Dartmouth Coll,2702,37,1.4%
224,Univ Geneva,5610,76,1.4%
225,Murdoch Univ,1464,20,1.3%
226,Sorbonne Univ,8970,121,1.3%
227,Univ Pittsburgh,12063,162,1.3%
228,Univ Beira Interior,1051,14,1.3%
229,Stony Brook Univ - SUNY,3872,52,1.3%
230,Chongqing Univ,15412,206,1.3%
231,Australian Natl Univ,5440,73,1.3%
232,Univ California - Irvine,7286,97,1.3%
233,Univ Nottingham,8070,107,1.3%
234,North Arizona Univ,1045,14,1.3%
235,Humboldt Univ Berlin,5320,71,1.3%
