institution,category,herd_rank,rd_thousands,scope_note,unitid,ipeds_name,city,state,fte12mn,unduplicated_headcount,match_type,match_score,alternatives
University of Notre Dame,US national university,100,345791,Campus/institution as reported by NSF HERD.,152080,University of Notre Dame,Notre Dame,IN,13825,13675,Exact normalized name,1.0,
Wake Forest University,US national university,101,344517,Campus/institution as reported by NSF HERD.,199847,Wake Forest University,Winston-Salem,NC,9121,9843,Exact normalized name,1.0,
Clemson University,US national university,103,338533,Campus/institution as reported by NSF HERD.,217882,Clemson University,Clemson,SC,27950,31612,Exact normalized name,1.0,
Florida International University,US national university,104,325785,Campus/institution as reported by NSF HERD.,133951,Florida International University,Miami,FL,47353,67081,Exact normalized name,1.0,
Stony Brook University—SUNY,US national university,106,319258,Campus/institution as reported by NSF HERD.,196097,Stony Brook University,Stony Brook,NY,26068,33031,Exact normalized name,1.0,
"University of California, Santa Barbara",US national university,111,303446,Campus/institution as reported by NSF HERD.,110705,University of California-Santa Barbara,Santa Barbara,CA,26663,27662,Exact normalized name,1.0,
University of Massachusetts Amherst,US national university,114,281730,Campus/institution as reported by NSF HERD.,166629,University of Massachusetts-Amherst,Amherst,MA,31926,36745,Exact normalized name,1.0,
Tufts University,US national university,116,278304,Campus/institution as reported by NSF HERD.,168148,Tufts University,Medford,MA,13953,14945,Exact normalized name,1.0,
Rice University,US national university,117,277683,Campus/institution as reported by NSF HERD.,227757,Rice University,Houston,TX,9107,9166,Exact normalized name,1.0,
Tulane University of Louisiana,US national university,119,275885,Campus/institution as reported by NSF HERD.,160755,Tulane University of Louisiana,New Orleans,LA,13276,15026,Exact normalized name,1.0,
"University of California, Riverside",US national university,133,231596,Campus/institution as reported by NSF HERD.,110671,University of California-Riverside,Riverside,CA,26448,28335,Exact normalized name,1.0,
"University of California, Santa Cruz",US national university,139,218426,Campus/institution as reported by NSF HERD.,110714,University of California-Santa Cruz,Santa Cruz,CA,21302,21313,Exact normalized name,1.0,
Syracuse University,US national university,142,198750,Campus/institution as reported by NSF HERD.,196413,Syracuse University,Syracuse,NY,23398,37243,Exact normalized name,1.0,
New Jersey Institute of Technology,US national university,149,171741,Campus/institution as reported by NSF HERD.,185828,New Jersey Institute of Technology,Newark,NJ,10725,14640,Exact normalized name,1.0,
Drexel University,US national university,151,170205,Campus/institution as reported by NSF HERD.,212054,Drexel University,Philadelphia,PA,20062,24590,Exact normalized name,1.0,
Binghamton University—SUNY,US national university,155,160644,Campus/institution as reported by NSF HERD.,196079,Binghamton University,Vestal,NY,18847,20575,Exact normalized name,1.0,
Rensselaer Polytechnic Institute,US national university,164,140247,Campus/institution as reported by NSF HERD.,194824,Rensselaer Polytechnic Institute,Troy,NY,7938,7752,Exact normalized name,1.0,
Baylor University,US national university,167,134876,Campus/institution as reported by NSF HERD.,223232,Baylor University,Waco,TX,21226,23100,Exact normalized name,1.0,
Colorado School of Mines,US national university,174,109905,Campus/institution as reported by NSF HERD.,126775,Colorado School of Mines,Golden,CO,7130,8103,Exact normalized name,1.0,
Brandeis University,US national university,176,107059,Campus/institution as reported by NSF HERD.,165015,Brandeis University,Waltham,MA,6238,5803,Exact normalized name,1.0,
Howard University,US national university,178,101815,Campus/institution as reported by NSF HERD.,131520,Howard University,Washington,DC,13330,14631,Exact normalized name,1.0,
Boston College,US national university,179,96310,Campus/institution as reported by NSF HERD.,164924,Boston College,Chestnut Hill,MA,14079,16561,Exact normalized name,1.0,
William & Mary,US national university,182,94609,Campus/institution as reported by NSF HERD.,231624,William & Mary,Williamsburg,VA,9434,10868,Exact normalized name,1.0,
Rochester Institute of Technology,US national university,197,78488,Campus/institution as reported by NSF HERD.,195003,Rochester Institute of Technology,Rochester,NY,14248,19382,Exact normalized name,1.0,
American University,US national university,198,78356,Campus/institution as reported by NSF HERD.,131159,American University,Washington,DC,12232,15188,Exact normalized name,1.0,
"University of California, Merced",US national university,200,77233,Campus/institution as reported by NSF HERD.,445188,University of California-Merced,Merced,CA,9316,9716,Exact normalized name,1.0,
Worcester Polytechnic Institute,US national university,208,71552,Campus/institution as reported by NSF HERD.,168421,Worcester Polytechnic Institute,Worcester,MA,7174,8009,Exact normalized name,1.0,
Stevens Institute of Technology,US national university,209,70736,Campus/institution as reported by NSF HERD.,186867,Stevens Institute of Technology,Hoboken,NJ,8390,9650,Exact normalized name,1.0,
Southern Methodist University,US national university,217,62553,Campus/institution as reported by NSF HERD.,228246,Southern Methodist University,Dallas,TX,11136,12900,Exact normalized name,1.0,
Lehigh University,US national university,218,62406,Campus/institution as reported by NSF HERD.,213543,Lehigh University,Bethlehem,PA,7357,8067,Exact normalized name,1.0,
Marquette University,US national university,238,49099,Campus/institution as reported by NSF HERD.,239105,Marquette University,Milwaukee,WI,11069,12327,Exact normalized name,1.0,
