institution,category,herd_rank,rd_thousands,scope_note
Johns Hopkins University,US national university,1,4129264,Includes the Applied Physics Laboratory; APL accounts for $2.550B of the FY2024 total.
University of Pennsylvania,US national university,2,2167504,Campus/institution as reported by NSF HERD.
University of Michigan—Ann Arbor,US national university,4,2110961,Campus/institution as reported by NSF HERD.
University of Wisconsin—Madison,US national university,5,1933229,Campus/institution as reported by NSF HERD.
"University of California, Los Angeles",US national university,6,1896227,Campus/institution as reported by NSF HERD.
"University of California, San Diego",US national university,7,1881289,Campus/institution as reported by NSF HERD.
University of Washington,US national university,8,1691302,Campus/institution as reported by NSF HERD.
Stanford University,US national university,9,1641961,Campus/institution as reported by NSF HERD.
Cornell University,US national university,10,1613631,Campus/institution as reported by NSF HERD.
University of North Carolina—Chapel Hill,US national university,11,1598751,Campus/institution as reported by NSF HERD.
The Ohio State University,US national university,12,1581570,Campus/institution as reported by NSF HERD.
Duke University,US national university,13,1580756,Campus/institution as reported by NSF HERD.
"University of Maryland, College Park",US national university,14,1539520,"NSF row combines College Park and University of Maryland, Baltimore."
Georgia Institute of Technology,US national university,15,1528637,Campus/institution as reported by NSF HERD.
Yale University,US national university,16,1519694,Campus/institution as reported by NSF HERD.
University of Pittsburgh,US national university,17,1504665,Campus/institution as reported by NSF HERD.
New York University,US national university,18,1500732,Campus/institution as reported by NSF HERD.
Harvard University,US national university,19,1494527,Campus/institution as reported by NSF HERD.
Columbia University,US national university,20,1449535,Campus/institution as reported by NSF HERD.
University of Minnesota—Twin Cities,US national university,21,1409710,Campus/institution as reported by NSF HERD.
Texas A&M University,US national university,22,1393825,NSF row combines College Station and the Health Science Center.
Vanderbilt University,US national university,24,1327870,NSF row includes Vanderbilt University Medical Center.
Pennsylvania State University—University Park,US national university,25,1302971,NSF row combines University Park and Hershey Medical Center.
University of Florida,US national university,26,1272493,Campus/institution as reported by NSF HERD.
University of Southern California,US national university,27,1264197,Campus/institution as reported by NSF HERD.
Northwestern University,US national university,28,1257859,Campus/institution as reported by NSF HERD.
Emory University,US national university,29,1246507,Campus/institution as reported by NSF HERD.
Washington University in St. Louis,US national university,30,1243115,Campus/institution as reported by NSF HERD.
University of Texas at Austin,US national university,31,1143917,Campus/institution as reported by NSF HERD.
"University of California, Berkeley",US national university,32,1126782,Campus/institution as reported by NSF HERD.
Massachusetts Institute of Technology,US national university,33,1065554,Campus/institution as reported by NSF HERD.
"University of California, Davis",US national university,36,1005757,Campus/institution as reported by NSF HERD.
Michigan State University,US national university,38,931848,Campus/institution as reported by NSF HERD.
Purdue University—Main Campus,US national university,39,931513,Campus/institution as reported by NSF HERD.
University of Illinois Urbana-Champaign,US national university,40,906751,Campus/institution as reported by NSF HERD.
Indiana University—Bloomington,US national university,41,896983,Campus/institution as reported by NSF HERD.
Rutgers University—New Brunswick,US national university,45,836800,Campus/institution as reported by NSF HERD.
University of Virginia,US national university,46,813772,Campus/institution as reported by NSF HERD.
Boston University,US national university,48,784355,Campus/institution as reported by NSF HERD.
University of Colorado Boulder,US national university,51,717920,Campus/institution as reported by NSF HERD.
